Temperature (C),Mass Fraction
126.936,1
127.097,1
127.267,1
127.433,1.000009988
127.596,1.000009988
127.762,1.000019977
127.926,1.000029965
128.095,1.000029965
128.261,1.000039954
128.426,1.000039954
128.594,1.000039954
128.768,1.000039954
128.923,1.000039954
129.091,1.000039954
129.251,1.000039954
129.417,1.000039954
129.581,1.000039954
129.755,1.000039954
129.914,1.000049942
130.085,1.00005993
130.267,1.000069919
130.422,1.000089896
130.587,1.000099884
130.755,1.000109873
130.916,1.000119861
131.083,1.000129849
131.244,1.000129849
131.414,1.000139838
131.575,1.000139838
131.742,1.000139838
131.907,1.000139838
132.07,1.000139838
132.245,1.000139838
132.415,1.000139838
132.575,1.000139838
132.738,1.000139838
132.904,1.000139838
133.077,1.000139838
133.24,1.000139838
133.411,1.000139838
133.572,1.000139838
133.735,1.000139838
133.907,1.000139838
134.069,1.000139838
134.235,1.000139838
134.402,1.000139838
134.564,1.000139838
134.734,1.000139838
134.896,1.000139838
135.062,1.000139838
135.224,1.000139838
135.393,1.000139838
135.559,1.000139838
135.728,1.000139838
135.894,1.000149826
136.056,1.000159815
136.223,1.000169803
136.394,1.00018978
136.561,1.000199768
136.718,1.000209757
136.887,1.000219745
137.062,1.000229734
137.228,1.000229734
137.396,1.000239722
137.557,1.000229734
137.714,1.000229734
137.882,1.000219745
138.051,1.000209757
138.209,1.000199768
138.375,1.000199768
138.545,1.00018978
138.712,1.00018978
138.878,1.000199768
139.037,1.000209757
139.207,1.000209757
139.378,1.000219745
139.54,1.000219745
139.702,1.000229734
139.871,1.000229734
140.036,1.000239722
140.203,1.000239722
140.368,1.000239722
140.524,1.000239722
140.693,1.000239722
140.863,1.000239722
141.03,1.000239722
141.191,1.000239722
141.356,1.000239722
141.52,1.000239722
141.688,1.000239722
141.858,1.000239722
142.015,1.000239722
142.189,1.000239722
142.355,1.000239722
142.518,1.000239722
142.685,1.00024971
142.845,1.000259699
143.019,1.000269687
143.176,1.000279676
143.34,1.000299652
143.504,1.000309641
143.681,1.000319629
143.848,1.000329618
144,1.000329618
144.172,1.000329618
144.342,1.000339606
144.506,1.000339606
144.676,1.000339606
144.836,1.000339606
145.007,1.000339606
145.17,1.000339606
145.331,1.000339606
145.499,1.000339606
145.675,1.000339606
145.846,1.000339606
146.01,1.000339606
146.174,1.000339606
146.337,1.000339606
146.505,1.000339606
146.671,1.000339606
146.829,1.000339606
146.999,1.000339606
147.166,1.000339606
147.331,1.000339606
147.496,1.000339606
147.665,1.000339606
147.828,1.000339606
147.991,1.000339606
148.153,1.000339606
148.33,1.000339606
148.495,1.000339606
148.651,1.000339606
148.817,1.000339606
148.987,1.000339606
149.153,1.000339606
149.321,1.000339606
149.483,1.000339606
149.65,1.000339606
149.821,1.000339606
149.978,1.000349594
150.144,1.000359583
150.309,1.000369571
150.474,1.000389548
150.64,1.000399537
150.811,1.000409525
150.988,1.000419513
151.147,1.000419513
151.322,1.000429502
151.481,1.00043949
151.649,1.00043949
151.819,1.00043949
151.983,1.00043949
152.151,1.00043949
152.32,1.00043949
152.489,1.00043949
152.656,1.00043949
152.829,1.00043949
152.99,1.00043949
153.151,1.00043949
153.321,1.00043949
153.483,1.00043949
153.649,1.00043949
153.81,1.00043949
153.982,1.00043949
154.155,1.00043949
154.315,1.00043949
154.482,1.00043949
154.646,1.00043949
154.818,1.00043949
154.989,1.00043949
155.161,1.00043949
155.329,1.00043949
155.486,1.00043949
155.654,1.00043949
155.817,1.00043949
155.988,1.00043949
156.145,1.00043949
156.312,1.00043949
156.479,1.00043949
156.645,1.00043949
156.812,1.00043949
156.981,1.00043949
157.146,1.00043949
157.307,1.00043949
157.476,1.000449479
157.649,1.000459467
157.813,1.000459467
157.98,1.000459467
158.14,1.000459467
158.302,1.000459467
158.472,1.000449479
158.635,1.000449479
158.799,1.000459467
158.967,1.000459467
159.14,1.000479444
159.305,1.000489432
159.468,1.000499421
159.623,1.000509409
159.795,1.000519397
159.96,1.000519397
160.129,1.000529386
160.297,1.000529386
160.464,1.000539374
160.633,1.000539374
160.801,1.000539374
160.956,1.000539374
161.121,1.000539374
161.297,1.000539374
161.454,1.000539374
161.615,1.000539374
161.791,1.000529386
161.958,1.000519397
162.124,1.000499421
162.283,1.000489432
162.449,1.000489432
162.614,1.000489432
162.784,1.000499421
162.951,1.000509409
163.119,1.000509409
163.28,1.000519397
163.445,1.000519397
163.618,1.000529386
163.785,1.000529386
163.951,1.000539374
164.116,1.000539374
164.282,1.000539374
164.447,1.000539374
164.613,1.000539374
164.777,1.000539374
164.943,1.000539374
165.11,1.000539374
165.277,1.000539374
165.436,1.000539374
165.607,1.000539374
165.779,1.000539374
165.943,1.000539374
166.107,1.000539374
166.28,1.000539374
166.45,1.000539374
166.616,1.000539374
166.782,1.000539374
166.94,1.000539374
167.111,1.000539374
167.277,1.000539374
167.452,1.000539374
167.615,1.000539374
167.782,1.000539374
167.953,1.000539374
168.119,1.000539374
168.285,1.000539374
168.441,1.000539374
168.611,1.000539374
168.779,1.000539374
168.946,1.000539374
169.108,1.000539374
169.282,1.000539374
169.453,1.000539374
169.614,1.000539374
169.782,1.000539374
169.946,1.000539374
170.113,1.000539374
170.268,1.000539374
170.445,1.000539374
170.605,1.000539374
170.768,1.000539374
170.943,1.000539374
171.108,1.000539374
171.277,1.000549363
171.445,1.000559351
171.615,1.00056934
171.781,1.00056934
171.941,1.000579328
172.115,1.000579328
172.283,1.000579328
172.452,1.000579328
172.621,1.000559351
172.782,1.000549363
172.943,1.000549363
173.116,1.000539374
173.278,1.000539374
173.449,1.000539374
173.615,1.000539374
173.784,1.000539374
173.949,1.000539374
174.119,1.000539374
174.29,1.000539374
174.446,1.000539374
174.614,1.000539374
174.792,1.000539374
174.954,1.000539374
175.111,1.000539374
175.28,1.000539374
175.448,1.000539374
175.614,1.000539374
175.777,1.000539374
175.948,1.000539374
176.113,1.000539374
176.275,1.000539374
176.438,1.000539374
176.608,1.000539374
176.777,1.000539374
176.944,1.000539374
177.115,1.000539374
177.282,1.000539374
177.454,1.000539374
177.619,1.000539374
177.782,1.000539374
177.949,1.000539374
178.12,1.000539374
178.29,1.000539374
178.453,1.000539374
178.618,1.000539374
178.785,1.000539374
178.952,1.000539374
179.116,1.000539374
179.287,1.000539374
179.456,1.000539374
179.611,1.000539374
179.787,1.000539374
179.948,1.000539374
180.117,1.000539374
180.29,1.000539374
180.456,1.000539374
180.621,1.000539374
180.783,1.000539374
180.949,1.000539374
181.115,1.000539374
181.28,1.000539374
181.453,1.000539374
181.62,1.000539374
181.782,1.000539374
181.953,1.000539374
182.122,1.000539374
182.286,1.000539374
182.446,1.000539374
182.604,1.000539374
182.783,1.000539374
182.948,1.000539374
183.114,1.000539374
183.282,1.000539374
183.45,1.000539374
183.619,1.000539374
183.775,1.000539374
183.948,1.000539374
184.109,1.000529386
184.276,1.000519397
184.449,1.000519397
184.614,1.000509409
184.779,1.000509409
184.945,1.000509409
185.116,1.000519397
185.283,1.000519397
185.446,1.000529386
185.615,1.000529386
185.785,1.000529386
185.95,1.000539374
186.111,1.000529386
186.282,1.000529386
186.452,1.000519397
186.617,1.000519397
186.784,1.000519397
186.954,1.000499421
187.124,1.000489432
187.293,1.000479444
187.452,1.000469455
187.629,1.000459467
187.79,1.000449479
187.952,1.000449479
188.122,1.00043949
188.301,1.00043949
188.463,1.00043949
188.626,1.00043949
188.794,1.00043949
188.961,1.00043949
189.123,1.00043949
189.289,1.00043949
189.468,1.00043949
189.628,1.00043949
189.797,1.00043949
189.965,1.00043949
190.135,1.00043949
190.298,1.00043949
190.466,1.00043949
190.623,1.00043949
190.796,1.00043949
190.961,1.00043949
191.128,1.00043949
191.295,1.00043949
191.46,1.00043949
191.623,1.00043949
191.805,1.000429502
191.963,1.000429502
192.134,1.000429502
192.298,1.000419513
192.469,1.000409525
192.631,1.000409525
192.801,1.000399537
192.973,1.00037956
193.133,1.000369571
193.297,1.000359583
193.464,1.000359583
193.635,1.000349594
193.805,1.000349594
193.977,1.000339606
194.137,1.000339606
194.311,1.000339606
194.478,1.000339606
194.642,1.000339606
194.804,1.000339606
194.977,1.000339606
195.143,1.000339606
195.311,1.000339606
195.475,1.000339606
195.642,1.000339606
195.811,1.000339606
195.974,1.000339606
196.152,1.000339606
196.316,1.000339606
196.475,1.000329618
196.644,1.000319629
196.809,1.000309641
196.974,1.000289664
197.142,1.000279676
197.308,1.000269687
197.481,1.000259699
197.652,1.000259699
197.819,1.00024971
197.984,1.000239722
198.163,1.000239722
198.327,1.000239722
198.488,1.000239722
198.657,1.000239722
198.828,1.000239722
199,1.000239722
199.153,1.000229734
199.327,1.000219745
199.496,1.000209757
199.667,1.00018978
199.841,1.000179791
199.998,1.000169803
200.162,1.000159815
200.339,1.000149826
200.507,1.000149826
200.665,1.000149826
200.83,1.000139838
201,1.000139838
201.171,1.000139838
201.342,1.000139838
201.512,1.000139838
201.684,1.000139838
201.845,1.000149826
202.014,1.000159815
202.192,1.000159815
202.355,1.000159815
202.519,1.000159815
202.686,1.000149826
202.851,1.000139838
203.019,1.000119861
203.183,1.000089896
203.356,1.00005993
203.522,1.000019977
203.681,0.999980023
203.847,0.999960046
204.011,0.99994007
204.176,0.999930081
204.341,0.999930081
204.513,0.999920093
204.679,0.999920093
204.851,0.999920093
205.017,0.999930081
205.189,0.999930081
205.355,0.99994007
205.514,0.99994007
205.689,0.99994007
205.858,0.99994007
206.028,0.99994007
206.19,0.99994007
206.362,0.99994007
206.524,0.99994007
206.691,0.99994007
206.863,0.99994007
207.029,0.999930081
207.198,0.999920093
207.362,0.999910104
207.526,0.999890127
207.69,0.999880139
207.863,0.999870151
208.022,0.999860162
208.194,0.999860162
208.36,0.999850174
208.522,0.999840185
208.689,0.999840185
208.854,0.999840185
209.027,0.999830197
209.203,0.999820209
209.372,0.99981022
209.536,0.999780255
209.694,0.999760278
209.87,0.99975029
210.032,0.999740301
210.197,0.999720324
210.368,0.999700348
210.536,0.999690359
210.702,0.999670382
210.869,0.999660394
211.033,0.999650406
211.195,0.999640417
211.369,0.999630429
211.536,0.99962044
211.701,0.99962044
211.871,0.999610452
212.046,0.999600463
212.207,0.999590475
212.37,0.999580487
212.541,0.999580487
212.708,0.999570498
212.872,0.99956051
213.038,0.999540533
213.205,0.999530545
213.369,0.999510568
213.537,0.999500579
213.714,0.999490591
213.88,0.999470614
214.042,0.999460626
214.206,0.999450637
214.373,0.999440649
214.55,0.999420672
214.713,0.999410684
214.881,0.999390707
215.043,0.999380718
215.209,0.99937073
215.388,0.999360742
215.557,0.999360742
215.722,0.999350753
215.886,0.999330776
216.052,0.999320788
216.216,0.999310799
216.382,0.999290823
216.549,0.999280834
216.718,0.999260857
216.886,0.999240881
217.052,0.999220904
217.224,0.999200927
217.388,0.999190939
217.554,0.999170962
217.717,0.999160973
217.888,0.999160973
218.053,0.999150985
218.218,0.999140996
218.386,0.999131008
218.554,0.99912102
218.721,0.999101043
218.89,0.999081066
219.068,0.999061089
219.228,0.999031124
219.401,0.999011147
219.565,0.99899117
219.731,0.998971193
219.894,0.998951217
220.061,0.998941228
220.228,0.998921251
220.394,0.998901275
220.567,0.998891286
220.732,0.998871309
220.898,0.998861321
221.066,0.998841344
221.239,0.998821367
221.406,0.998811379
221.57,0.998791402
221.736,0.998781414
221.902,0.998761437
222.074,0.99874146
222.239,0.998721483
222.405,0.998701506
222.572,0.998681529
222.732,0.998661553
222.905,0.998641576
223.079,0.998621599
223.243,0.998601622
223.417,0.998591634
223.587,0.998571657
223.75,0.998561668
223.916,0.99855168
224.088,0.998531703
224.256,0.998511726
224.423,0.998481761
224.588,0.998441808
224.746,0.998411842
224.922,0.998381877
225.089,0.998351912
225.259,0.998321947
225.428,0.998311958
225.602,0.998291981
225.769,0.998272004
225.933,0.998252028
226.098,0.998242039
226.26,0.998232051
226.431,0.998202086
226.601,0.998182109
226.762,0.998142155
226.941,0.99811219
227.109,0.998072236
227.276,0.998052259
227.441,0.998022294
227.601,0.99798234
227.77,0.997952375
227.934,0.997932398
228.111,0.997902433
228.273,0.997882456
228.438,0.99786248
228.608,0.997842503
228.771,0.997822526
228.939,0.997802549
229.105,0.997772584
229.27,0.997742619
229.449,0.997722642
229.614,0.997702665
229.787,0.9976727
229.952,0.997642734
230.113,0.997612769
230.283,0.997582804
230.451,0.99754285
230.623,0.997502897
230.793,0.997472931
230.951,0.997432978
231.118,0.997403013
231.294,0.997373047
231.459,0.997343082
231.629,0.997303128
231.802,0.997273163
231.959,0.997243198
232.138,0.997213233
232.305,0.997173279
232.464,0.997143314
232.633,0.997113349
232.805,0.997073395
232.968,0.99704343
233.139,0.997013464
233.308,0.996983499
233.475,0.996953534
233.639,0.996923569
233.813,0.996893603
233.973,0.996863638
234.144,0.996823685
234.315,0.996783731
234.482,0.996743777
234.65,0.996713812
234.815,0.996673858
234.986,0.996643893
235.154,0.996613928
235.319,0.996573974
235.485,0.996534021
235.65,0.996504055
235.829,0.996464102
235.998,0.996424148
236.165,0.996384194
236.329,0.996344241
236.497,0.996304287
236.67,0.996264333
236.836,0.99622438
237.008,0.996184426
237.17,0.996144472
237.331,0.996104519
237.51,0.996064565
237.667,0.996024611
237.837,0.995984658
237.999,0.995944704
238.159,0.99590475
238.323,0.995854808
238.499,0.995804866
238.665,0.995754924
238.837,0.995704982
239.011,0.995665029
239.173,0.995625075
239.334,0.995575133
239.501,0.995535179
239.669,0.995495226
239.831,0.995455272
240.005,0.99540533
240.17,0.995355388
240.339,0.995295457
240.502,0.995245515
240.672,0.995185585
240.838,0.995135643
241.005,0.995085701
241.168,0.995045747
241.337,0.994985816
241.502,0.994935874
241.675,0.994885932
241.835,0.99483599
241.998,0.994786048
242.169,0.994736106
242.338,0.994696152
242.507,0.99464621
242.681,0.994606257
242.846,0.994556315
243.009,0.994506373
243.181,0.994456431
243.346,0.9943965
243.512,0.994346558
243.683,0.994286628
243.853,0.994236685
244.02,0.994176755
244.191,0.994126813
244.359,0.994076871
244.53,0.99401694
244.696,0.993947021
244.859,0.993887091
245.03,0.99382716
245.192,0.993757242
245.367,0.993687323
245.534,0.993627392
245.71,0.993557473
245.868,0.993497543
246.039,0.993437612
246.204,0.993377682
246.373,0.993307763
246.537,0.993227856
246.703,0.993147948
246.871,0.993078029
247.037,0.993008111
247.208,0.992918215
247.384,0.992838308
247.544,0.9927584
247.713,0.992678493
247.876,0.992608574
248.043,0.992528667
248.208,0.992448759
248.376,0.992358864
248.549,0.992268968
248.71,0.992169084
248.878,0.992079188
249.045,0.991979304
249.209,0.99187942
249.368,0.991759559
249.538,0.991659675
249.704,0.991559791
249.863,0.991449918
250.037,0.991350034
250.21,0.99125015
250.371,0.991150266
250.54,0.991050382
250.712,0.990950497
250.873,0.990840625
251.042,0.990730752
251.204,0.990610891
251.376,0.99049103
251.547,0.990371169
251.712,0.99024132
251.878,0.990121459
252.047,0.98999161
252.224,0.98986176
252.397,0.989741899
252.564,0.98961205
252.723,0.989472212
252.893,0.989332374
253.055,0.989182548
253.222,0.989032722
253.387,0.988882896
253.562,0.98873307
253.738,0.988583243
253.903,0.988423429
254.061,0.988263614
254.231,0.9881038
254.392,0.987943985
254.567,0.987774182
254.726,0.987594391
254.895,0.987424587
255.066,0.987244796
255.237,0.987065005
255.397,0.986885213
255.57,0.986695433
255.743,0.986515642
255.904,0.986325862
256.073,0.986136082
256.248,0.985936314
256.41,0.985746534
256.581,0.985546766
256.748,0.985346997
256.917,0.985127252
257.088,0.984917496
257.249,0.984707739
257.415,0.984497982
257.585,0.984288226
257.757,0.984078469
257.928,0.983858724
258.091,0.983648967
258.251,0.983429222
258.421,0.983209477
258.59,0.98299972
258.754,0.982779975
258.928,0.982550242
259.097,0.982330497
259.259,0.982100763
259.429,0.98187103
259.595,0.981631308
259.762,0.981401574
259.926,0.981171841
260.096,0.980932119
260.263,0.980692397
260.425,0.980452675
260.598,0.980222941
260.772,0.979983219
260.936,0.979743498
261.102,0.979503776
261.271,0.979264054
261.438,0.979024332
261.606,0.978774621
261.772,0.978524911
261.948,0.978265212
262.112,0.978005514
262.274,0.977735826
262.444,0.977466139
262.608,0.977206441
262.766,0.976946742
262.935,0.976697031
263.106,0.976437333
263.277,0.976167646
263.44,0.975907947
263.614,0.975648248
263.785,0.975368572
263.942,0.975108874
264.114,0.974839187
264.281,0.974569499
264.446,0.974289824
264.613,0.974010148
264.781,0.973730473
264.951,0.973450797
265.116,0.973161133
265.289,0.972871469
265.46,0.972581805
265.624,0.97230213
265.793,0.972012466
265.961,0.97173279
266.128,0.971443126
266.295,0.971143474
266.459,0.970843821
266.623,0.970544169
266.791,0.97022454
266.96,0.969914899
267.127,0.969595269
267.293,0.969285629
267.464,0.968965999
267.625,0.96864637
267.791,0.968326741
267.958,0.967997123
268.125,0.967677494
268.292,0.967337888
268.459,0.96700827
268.629,0.966668664
268.789,0.966339047
268.964,0.965989452
269.132,0.965639858
269.299,0.965290263
269.466,0.964940669
269.63,0.964591074
269.797,0.964231491
269.967,0.963871909
270.137,0.963502337
270.299,0.963132766
270.472,0.962753206
270.643,0.962373647
270.807,0.962004075
270.973,0.961624516
271.146,0.961244956
271.315,0.960845419
271.482,0.960455871
271.645,0.960056335
271.815,0.95964681
271.987,0.959227296
272.154,0.958807783
272.321,0.95838827
272.491,0.957968756
272.66,0.957549243
272.83,0.957099764
273.002,0.956650286
273.158,0.956190819
273.329,0.95574134
273.497,0.955261896
273.663,0.954782452
273.832,0.95429302
273.996,0.953813576
274.162,0.953314156
274.329,0.952794758
274.5,0.952275361
274.665,0.951755963
274.833,0.951226577
275.006,0.950677214
275.174,0.950117863
275.342,0.949558512
275.505,0.948989173
275.665,0.948409845
275.84,0.947800551
276.005,0.947191258
276.174,0.946571977
276.335,0.945952695
276.497,0.945273483
276.661,0.944604259
276.824,0.943915059
276.993,0.94321587
277.162,0.942506692
277.331,0.941737584
277.5,0.940988453
277.664,0.940229334
277.829,0.939470215
277.993,0.938671141
278.153,0.937872068
278.315,0.937063007
278.484,0.936233969
278.648,0.935394942
278.81,0.934505973
278.971,0.933617004
279.14,0.932728035
279.3,0.93181909
279.457,0.930860202
279.617,0.929901314
279.781,0.928932438
279.941,0.927943585
280.106,0.926934756
280.27,0.925875984
280.432,0.924837189
280.596,0.923778417
280.753,0.922719645
280.913,0.92162092
281.077,0.920522194
281.24,0.91941348
281.405,0.918294778
281.565,0.917166087
281.728,0.915997443
281.884,0.914828799
282.042,0.913650166
282.208,0.912461545
282.367,0.911222981
282.523,0.909994406
282.68,0.908755843
282.842,0.907497303
283.009,0.906238763
283.166,0.904970235
283.328,0.903721683
283.486,0.902443166
283.655,0.901104719
283.813,0.899896121
283.977,0.898677534
284.136,0.897089376
284.301,0.89524152
284.466,0.893423629
284.629,0.891665668
284.78,0.889927684
284.936,0.888199688
285.097,0.886471693
285.258,0.884793639
285.423,0.883075632
285.584,0.881337648
285.741,0.879579688
285.902,0.87780175
286.064,0.875943905
286.222,0.87408606
286.374,0.872218227
286.536,0.870330417
286.699,0.868342722
286.864,0.866365017
287.029,0.864357345
287.185,0.862329698
287.342,0.860282073
287.501,0.858124575
287.667,0.855987055
287.829,0.853849535
287.991,0.851692037
288.159,0.849474609
288.315,0.84726717
288.473,0.845059731
288.631,0.842832315
288.794,0.840604898
288.951,0.83832754
289.116,0.836070159
289.268,0.8337928
289.435,0.831525431
289.592,0.829218107
289.747,0.826910783
289.917,0.82460346
290.08,0.822286148
290.241,0.819958848
290.397,0.817591594
290.559,0.815234328
290.722,0.812867074
290.888,0.81049982
291.056,0.808092613
291.217,0.805705382
291.376,0.803308163
291.539,0.800910943
291.703,0.798503736
291.866,0.796096528
292.031,0.793699309
292.195,0.79130209
292.355,0.788924847
292.521,0.786567582
292.688,0.784210316
292.852,0.781873027
293.025,0.779555715
293.187,0.77725838
293.349,0.775020976
293.519,0.772773583
293.681,0.770546166
293.846,0.768338727
294.017,0.766211195
294.189,0.764063686
294.362,0.761946142
294.532,0.759848576
294.697,0.757780974
294.866,0.75579328
295.026,0.753785609
295.191,0.751807903
295.37,0.749850174
295.542,0.747972352
295.709,0.746074554
295.885,0.744196732
296.047,0.742348875
296.222,0.740520996
296.392,0.738753046
296.564,0.736975109
296.727,0.73520716
296.902,0.733459187
297.07,0.731761157
297.237,0.730053138
297.405,0.728365096
297.587,0.726697031
297.752,0.725048943
297.926,0.723460785
298.092,0.721852651
298.268,0.720254505
298.44,0.718666347
298.605,0.717128131
298.786,0.715579927
298.949,0.714041712
299.119,0.712513484
299.292,0.710995246
299.467,0.70951696
299.643,0.708028687
299.818,0.706550402
299.987,0.705072116
300.15,0.703633785
300.325,0.702175476
300.488,0.700727156
300.66,0.699288825
300.83,0.697860482
301.001,0.696442127
301.177,0.695033761
301.341,0.693625395
301.515,0.692227017
301.685,0.690848616
301.852,0.689460226
302.03,0.688071837
302.19,0.686683447
302.368,0.685305046
302.541,0.683946622
302.717,0.682578209
302.881,0.681219785
303.052,0.679871349
303.219,0.678532902
303.387,0.677194454
303.561,0.675856007
303.733,0.674537536
303.908,0.673219066
304.08,0.671920572
304.251,0.670602102
304.422,0.669293619
304.584,0.667985137
304.755,0.666676655
304.934,0.665368173
305.098,0.664059691
305.265,0.662751209
305.445,0.661442726
305.618,0.660154221
305.783,0.658865716
305.959,0.657587199
306.129,0.65631867
306.299,0.655070119
306.475,0.65380159
306.634,0.652553038
306.812,0.651304487
306.986,0.650055935
307.158,0.64882736
307.325,0.647588797
307.496,0.646360222
307.666,0.645121659
307.84,0.643893084
308.009,0.642664509
308.186,0.641445923
308.357,0.640217348
308.522,0.638998761
308.688,0.637790163
308.859,0.636581565
309.027,0.635372967
309.193,0.634174358
309.371,0.632975748
309.545,0.631787127
309.71,0.630598506
309.875,0.629409885
310.046,0.628231252
310.213,0.627072596
310.384,0.62591394
310.556,0.624755284
310.725,0.623596628
310.899,0.622457949
311.064,0.621309281
311.226,0.620160614
311.39,0.619021935
311.574,0.617883255
311.742,0.616744576
311.911,0.615615886
312.086,0.614487195
312.25,0.613358504
312.419,0.612239802
312.595,0.611141076
312.757,0.610032362
312.933,0.608933637
313.1,0.607834912
313.268,0.60677614
313.446,0.605697391
313.617,0.604618642
313.783,0.603539894
313.952,0.602461145
314.126,0.601382396
314.302,0.600313636
314.475,0.599234888
314.645,0.59814615
314.799,0.597087379
314.971,0.596018618
315.146,0.594969835
315.324,0.593921052
315.49,0.592892245
315.657,0.591863438
315.828,0.590834632
315.994,0.589805825
316.173,0.588787007
316.34,0.587778177
316.514,0.586759359
316.682,0.585750529
316.846,0.5847417
317.014,0.583742858
317.179,0.582734029
317.352,0.581735187
317.519,0.580736346
317.695,0.579747493
317.86,0.578768628
318.031,0.577789764
318.201,0.576820888
318.371,0.575842023
318.536,0.574893124
318.717,0.573934236
318.885,0.572975349
319.05,0.572026449
319.218,0.571067562
319.385,0.570128651
319.555,0.56918974
319.729,0.568260817
319.898,0.567321907
320.068,0.566392984
320.234,0.565464062
320.404,0.564525151
320.571,0.56358624
320.745,0.562657318
320.91,0.561728395
321.082,0.560809461
321.249,0.559890527
321.42,0.558971593
321.582,0.558072636
321.757,0.557183667
321.923,0.55628471
322.09,0.555405729
322.257,0.554536737
322.429,0.553687722
322.6,0.552828719
322.775,0.551969715
322.943,0.551110712
323.111,0.550251708
323.28,0.549392704
323.442,0.548533701
323.62,0.547674697
323.779,0.546825682
323.946,0.545966679
324.131,0.545127652
324.3,0.544298614
324.459,0.543479564
324.627,0.542670502
324.803,0.541851452
324.968,0.541032402
325.136,0.540223341
325.305,0.539404291
325.477,0.53859523
325.648,0.537796156
325.82,0.536987095
325.982,0.536178033
326.15,0.535388949
326.322,0.534599864
326.498,0.533800791
326.664,0.533021695
326.828,0.532242599
327.006,0.531473491
327.176,0.530714371
327.345,0.529955252
327.512,0.529196132
327.68,0.528437013
327.85,0.527687882
328.027,0.526948739
328.187,0.526199608
328.362,0.525460466
328.532,0.524731312
328.702,0.523992169
328.866,0.523263015
329.04,0.522523872
329.216,0.521794718
329.385,0.521065564
329.55,0.520326421
329.722,0.519607256
329.889,0.518878101
330.06,0.518158936
330.229,0.51743977
330.395,0.516730593
330.56,0.516031404
330.734,0.515352191
330.9,0.514662991
331.067,0.513983779
331.244,0.513304567
331.417,0.512625355
331.584,0.511976108
331.75,0.511316872
331.915,0.510657637
332.087,0.509998402
332.253,0.509359143
332.428,0.508709897
332.603,0.50806065
332.779,0.507411403
332.944,0.506772144
333.115,0.506122897
333.278,0.505483639
333.445,0.504834392
333.609,0.504185145
333.78,0.503555875
333.948,0.502936594
334.114,0.502317312
334.284,0.501708019
334.448,0.501098725
334.618,0.500509409
334.782,0.499920093
334.958,0.499330776
335.122,0.49874146
335.296,0.498152144
335.463,0.497572816
335.635,0.496993488
335.804,0.49641416
335.974,0.495834832
336.145,0.49527548
336.327,0.494706141
336.493,0.494136801
336.661,0.49357745
336.83,0.493028087
336.999,0.492478725
337.167,0.491919374
337.34,0.491370011
337.513,0.490820648
337.674,0.490291262
337.84,0.489761876
338.012,0.489222502
338.195,0.488703104
338.362,0.488193695
338.521,0.487674298
338.686,0.487164889
338.855,0.48665548
339.036,0.486156059
339.208,0.485666627
339.374,0.485177194
339.546,0.484687762
339.716,0.48419833
339.883,0.483718886
340.051,0.483229454
340.227,0.48275001
340.389,0.482280555
340.561,0.481811099
340.73,0.481351632
340.898,0.480892165
341.064,0.480432698
341.237,0.479973231
341.411,0.479533741
341.582,0.479084262
341.746,0.478634784
341.919,0.478195293
342.095,0.477755803
342.261,0.47733629
342.426,0.476906788
342.593,0.476487275
342.762,0.476067761
342.938,0.475668225
343.1,0.4752587
343.286,0.474859163
343.452,0.474449638
343.613,0.474050102
